X;Y;X_COORD;Y_COORD;ADMI4;ADMI5;TOPONYMIE;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;NAME_2;ID_3;NAME_3;ID_4;NAME_4;VARNAME_4;CCN_4;CCA_4;TYPE_4;ENGTYPE_4;Code_uniqu;urban_popR;urban_popD;urban_popA;urban_popC;urban_popP;urban_po_1;urban_po_2;urban_po_3;urban_po_4;urban_po_5;urban_po_6;urban_po_7;urban_po_8;CU_ville;X_wgs84;Y_wgs84
-16.81277617;14.74785509;304858;1631224;10221;10221011;Keur Banda Gueye;201;SEN;Senegal;13;Thies;41;Thies;107;Notto;385;Notto;;722010;7220101;Commune;Commune;Thies/Thies/Notto/Notto;Thies;Thies;Notto;CR NOTTO;20610;25661;36420.64394;;;;;;;;;
-16.50321025;14.7727441;338208;1633732;2123;2123014;Ndiakalack Ngueye Ngue;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;53;Ngogom;;312020;3120203;Commune;Commune;Diourbel/Bambey/Lambaye/Ngogom;Diourbel;Bambey;Lambaye;CR NGOGOM;12243;17473;;;;;;;;;;
-16.23197311;14.75147161;367393;1631201;2225;2225007;Keur Alle Fall;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;69;Toure Mbonde;;322020;3220205;Commune;Commune;Diourbel/Diourbel/Ndoulo/Toure Mbonde;Diourbel;Diourbel;Ndoulo;CR TOURE MBONDE;;;;;;;;;;;;
-16.60835137;14.74868967;326870;1631149;10234;10234073;Ngoungousse;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;390;Touba Toul;;722020;7220204;Commune;Commune;Thies/Thies/Thienaba/Touba Toul;Thies;Thies;Thieneba;CR TOUBA TOUL;22558;30425;4;;;;;;;;;
-16.5242424;14.75298337;335929;1631561;2123;2123032;Thiathiao Poleck;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;53;Ngogom;;312020;3120203;Commune;Commune;Diourbel/Bambey/Lambaye/Ngogom;Diourbel;Bambey;Lambaye;CR NGOGOM;12243;17473;21889;;;;;;;;;
-16.88402464;14.73829352;297177;1630229;10212;10212022;Keur Simbara;201;SEN;Senegal;13;Thies;41;Thies;106;Keur Moussa;383;Fandene;;722030;7220302;Commune;Commune;Thies/Thies/Keur Moussa/Fandene;Thies;Thies;Keur Moussa;CR FANDENE;8872;11548;1;;;;;;;;;
-16.47224542;14.74869252;341524;1631049;2123;2123011;Mbary Alle Ndiaye;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;53;Ngogom;;312020;3120203;Commune;Commune;Diourbel/Bambey/Lambaye/Ngogom;Diourbel;Bambey;Lambaye;CR NGOGOM;12243;17473;2188;;;;;;;;;
-16.8396056;14.74896263;301970;1631370;10221;10221048;Ndirene;201;SEN;Senegal;13;Thies;41;Thies;107;Notto;385;Notto;;722010;7220101;Commune;Commune;Thies/Thies/Notto/Notto;Thies;Thies;Notto;CR NOTTO;20610;25661;36420.64394;37465.5;;;;;;;;
-16.68335418;14.74702602;318793;1631024;10231;10231011;Keur Mandiaye Mbar;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;387;Ndieyene Sirakh;;722020;7220201;Commune;Commune;Thies/Thies/Thienaba/Ndieyene Sirakh;Thies;Thies;Thieneba;CR NDIEYEN;;;;;;;;;;;;
-16.92423704;14.74721638;292855;1631253;10212;10212023;Keur Thieme Saware;201;SEN;Senegal;13;Thies;41;Thies;106;Keur Moussa;383;Fandene;;722030;7220302;Commune;Commune;Thies/Thies/Keur Moussa/Fandene;Thies;Thies;Keur Moussa;CR FANDENE;8872;1;;;;;;;;;;
-16.14168328;14.75008194;377112;1630996;2221;2221017;Koude;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;65;Ndoulo;;322020;3220201;Commune;Commune;Diourbel/Diourbel/Ndoulo/Ndoulo;Diourbel;Diourbel;Ndoulo;CR NDOULO;7787;9582;12037.0261;;;;;;;;;
-16.38752609;14.74869217;350645;1630991;2134;2134021;Mbadie Kade;201;SEN;Senegal;2;Diourbel;5;Bambey;13;Ngoye;58;Thiakhar;;312030;3120304;Commune;Commune;Diourbel/Bambey/Ngoye/Thiakhar;Diourbel;Bambey;Ngoye;CR THIAKHAR;14732;18189;22786.8303;;;;;;;;;
-16.11668554;14.7500865;379803;1630983;2221;2221047;Toular;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;65;Ndoulo;;322020;3220201;Commune;Commune;Diourbel/Diourbel/Ndoulo/Ndoulo;Diourbel;Diourbel;Ndoulo;CR NDOULO;7787;9582;12037.0261;;;;;;;;;
-16.08883274;14.7438823;382798;1630282;2321;2321022;Khourou Mbacke;201;SEN;Senegal;2;Diourbel;7;Mbacke;16;Kael;72;Dendeye Gouye Gui;;332010;3320101;Commune;Commune;Diourbel/Mbacke/Kael/Dendeye Gouye Gui;Diourbel;Mbacke;Kael;CR DANDEYE GOUYG;;;;;;;;;;;;
-16.52984661;14.74948456;335323;1631178;2123;2123999;Keur Niokholaye;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;53;Ngogom;;312020;3120203;Commune;Commune;Diourbel/Bambey/Lambaye/Ngogom;Diourbel;Bambey;Lambaye;CR NGOGOM;12243;17473;21889;;;;;;;;;
-16.89900653;14.74405416;295569;1630880;10212;10212031;Tawa Fall;201;SEN;Senegal;13;Thies;41;Thies;106;Keur Moussa;383;Fandene;;722030;7220302;Commune;Commune;Thies/Thies/Keur Moussa/Fandene;Thies;Thies;Keur Moussa;CR FANDENE;8872;11548;1639;;;;;;;;;
-16.30076473;14.78375405;360008;1634814;2215;2215021;Ndialap;201;SEN;Senegal;2;Diourbel;6;Diourbel;14;Ndindy;63;Taiba Moutoupha;;322010;3220105;Commune;Commune;Diourbel/Diourbel/Ndindy/Taiba Moutoupha;Diourbel;Diourbel;Ndindy;CR TAIBA MOUTOUP;;;;;;;;;;;;
-16.24169235;14.74868966;366345;1630899;2225;2225023;Payene;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;69;Toure Mbonde;;322020;3220205;Commune;Commune;Diourbel/Diourbel/Ndoulo/Toure Mbonde;Diourbel;Diourbel;Ndoulo;CR TOURE MBONDE;6315;99;;;;;;;;;;
-16.67446698;14.7459156;319749;1630894;10231;10231013;Mbardiack;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;387;Ndieyene Sirakh;;722020;7220201;Commune;Commune;Thies/Thies/Thienaba/Ndieyene Sirakh;Thies;Thies;Thieneba;CR NDIEYENE SIRAKH;;;;;;;;;;;;
-16.81047749;14.73041269;305090;1629292;10221;10221032;Keur Sangone Hanne;201;SEN;Senegal;13;Thies;41;Thies;107;Notto;385;Notto;;722010;7220101;Commune;Commune;Thies/Thies/Notto/Notto;Thies;Thies;Notto;CR NOTTO;20610;25661;36420.64394;;;;;;;;;
