ID;X;Y;TIME;DESIRE;ACTIVITY;COMMENTS
0303;-14.430148222443693;16.485972840606323;22:00;FEED;diner;cour
0303;-14.43014208235295;16.485780652521594;23:00;REST;Dormir;chambre
0304;-14.43014208235295;16.485780652521594;00:00;REST;dormir;chambre
0304;-14.430148222443693;16.485972840606323;08:00;STILL;priére;cour
0304;-14.430148222443693;16.485972840606323;08:15;FEED;petit dejeuner;cour
0304;-14.433080864285829;16.486054352010843;08:30;WANDER;aller au travail;marché
0304;-14.430148222443693;16.485972840606323;13:00;REST;Repos;cour 
0304;-14.430148222443693;16.485972840606323;14:00;FEED;déjeuner;cour
0304;-14.433080864285829;16.486054352010843;15:00;WANDER;aller au travail;marché
0304;-14.430148222443693;16.485972840606323;22:00;FEED;dîner;cour
0304;-14.430148222443693;16.485972840606323;22:30;STILL;palabrer;cour
0305;-14.430148222443693;16.485972840606323;07:00;STILL;prière;cour(87)
0305;-14.430148222443693;16.485972840606323;07:30;FEED;petit déjeuner;cour (87)
0305;-14.430148222443693;16.485972840606323;08:00;WANDER;tache ménagére;cour
0305;-14.432908544431273;16.48590839016087;09:00;WANDER;aller au marché;marché
0305;-14.430109933154705;16.486052682283116;10:00;WANDER;préparatif du dejeuner;cuisine (288)
0305;-14.430109933154705;16.486052682283116;11:00;WANDER;preparer le dejeuner;cuisine
0305;-14.430148222443693;16.485972840606323;13:00;FEED;repas;cour
0305;-14.430202878710315;16.48582229334643;14:00;REST;Dormir;chambre (292)
0305;-14.430109933154705;16.486052682283116;16:00;WANDER;préparer le diner;cuisine
0305;-14.430148222443693;16.485972840606323;18:00;REST;repos;cour
0305;-14.430148222443693;16.485972840606323;20:00;FEED;diner;cour
0305;-14.430148222443693;16.485972840606323;21:00;STILL;palabrer;cour
0305;-14.430202878710315;16.48582229334643;23:00;REST;dormir;chambre
0306;-14.430148222443693;16.485972840606323;06:00;STILL;priére;cour
0306;-14.432644421649327;16.48630578091203;06:30;WANDER;aller au marcher;marché
0306;-14.43042985438624;16.48596769672363;17:00;FEED;déjeuner+ thé+ repos;cour
0306;-14.432537012494818;16.486079958910953;19:00;WANDER;aller au marcher;marché
0306;-14.430148222443693;16.485972840606323;21:00;FEED;diner;cour
0306;-14.43042985438624;16.48596769672363;21:30;WANDER;Diner;cour
0306;-14.430202878710315;16.48582229334643;23:00;REST;Dormir;chambre
0307;233;137;08:00;STILL;priére+ acheter du pain;Boulangerie
0307;-14.430148222443693;16.485972840606323;08:20;FEED;petit dejeuner;cour
0307;-14.430148222443693;16.485972840606323;08:40;WANDER;tache ménagére;cour
0307;-14.430202878710315;16.48582229334643;09:00;REST;repos+ regarder la télé;chambre
0307;-14.430148222443693;16.485972840606323;13:00;FEED;déjeuner;cour
0307;-14.430109933154705;16.486052682283116;13:30;WANDER;laver les boles;cuisine
0307;-14.429645465332891;16.487116585093492;14:00;WANDER;aller jour;village
0307;-14.430148222443693;16.485972840606323;17:00;STILL;Palabrer;cour
0307;-14.430148222443693;16.485972840606323;20:00;FEED;diner;cour
0307;-14.430202878710315;16.48582229334643;20:30;REST;dormir;chambre
0308;-14.430148222443693;16.485972840606323;06:00;WANDER;Priére + tâche ménagére;cour  
0308;-14.430148222443693;16.485972840606323;08:00;FEED;petit dejeuner;cour
0308;-14.430148222443693;16.485972840606323;08:40;STILL;palabrer;cour
0308;-14.43017103303137;16.485763996255223;10:00;REST;repos;chambre
0308;-14.430148222443693;16.485972840606323;13:00;FEED;déjeuner;cour
0308;-14.430148222443693;16.485972840606323;13:30;WANDER;tâche ménagére;cour  
0308;-14.43017103303137;16.485763996255223;14:00;REST;Dormir;chambre
0308;-14.430148222443693;16.485972840606323;17:00;STILL;regarder la télé;cour 
0308;-14.430148222443693;16.485972840606323;19:00;STILL;palabrer;cour
0308;-14.430148222443693;16.485972840606323;21:00;FEED;diner;cour
0308;-14.43017103303137;16.485763996255223;22:00;REST;dormir;chambre
0401;-14.42953289845196;16.486174709842597;05:20;STILL;priére;cour 
0401;-14.42953289845196;16.486174709842597;06:00;FEED;Petit déjeuner;cour
0401;-14.43218285542915;16.486727748533525;07:30;WANDER;aller travailler;moulin
0401;-14.429612173889574;16.486183652934674;13:00;REST;Repos;cour
0401;-14.429612173889574;16.486183652934674;14:00;FEED;Déjeuner;cour
0401;-14.43218285542915;16.486727748533525;14:30;WANDER;aller travailler;moulin
0401;-14.429526262963476;16.486188898541414;19:00;REST;Repos;cour
0401;-14.429454513873349;16.48601336366329;23:00;REST;Dormir;chambre
0402;-14.429597341501356;16.48608409202162;06:00;WANDER;priére;cour (281)
0402;-14.429597341501356;16.48608409202162;07:30;WANDER;tache ménagére;cour (281)
0402;-14.429454513873349;16.48601336366329;08:00;REST;dormir;chambre 282
0402;-14.432898456724123;16.48593780039329;09:00;WANDER;aller au marché;marché
0402;-14.429526262963476;16.486188898541414;09:30;WANDER;préparatif dejeuner;cour
0402;-14.429426350679094;16.48604551292027;11:00;WANDER;magasin;magasin
0402;-14.429612764202972;16.48605772963653;12:00;WANDER;Préparer le déjeuner;cuisine
0402;-14.429526262963476;16.486188898541414;14:00;FEED;déjeuner;cour
0402;-14.429454513873349;16.48601336366329;14:30;REST;Dormir;chambre
0402;-14.429612764202972;16.48605772963653;16:00;WANDER;preparer le diner;cuisine
0402;-14.429526262963476;16.486188898541414;18:00;REST;Repos;cour
0402;-14.429526262963476;16.486188898541414;20:00;FEED;Diner;cour
0402;-14.429526262963476;16.486188898541414;21:00;STILL;palabrer;cour
0402;-14.429454513873349;16.48601336366329;22:00;REST;dormir;chambre
0403;65;11;05:30;STILL;priére;Mosquée
0403;-14.429423785598074;16.486023382277043;06:00;REST;Dormir;chambre 04
0403;-14.429526262963476;16.486188898541414;08:00;FEED;petit dejeuner;cour
0403;-14.432924352348648;16.4858234527728;08:30;WANDER;aller travailler;marché
