ID;X;Y;TIME;DESIRE;ACTIVITY;COMMENTS
H2105;-14.42942147;16.48716455;21:00;FEED;diner;cour
H2105;-14.42933564;16.48731758;22:00;STILL;reviser;chambre (443')
H2708;-14.43349038;16.48546707;07:00;WANDER;preparatif;cour (453)
H2708;233;0;07:40;STILL;aller … l'‚cole fran‡aise;School
H2708;-14.43349038;16.48546707;14:00;FEED;d‚jeuner;cour
H2708;-14.43369423;16.48536355;15:00;REST;Dormir;chambre (458)
H2708;-14.4335447;16.48566639;17:00;WANDER;preparer le diner;cuisine
H2708;-14.43351922;16.48536098;20:00;FEED;diner;cour
H2708;-14.43369423;16.48536355;21:00;STILL;R‚viser + t‚l‚;chambre
H2708;-14.43369423;16.48536355;22:30;REST;dormir;chambre
H2804;-14.43388199;16.48578599;07:00;WANDER;tache m‚nag‚re+ petit d‚jeuner;cour
H2804;-14.43349776;16.48546193;10:00;WANDER;aller jouer;maison 27
H2804;-14.43387997;16.48594995;12:00;REST;Dormir;chambre (336)
H2804;-14.43388199;16.48578599;14:00;WANDER;laver des assiettes;cour
H2804;-14.43387997;16.48594995;15:00;STILL;regarder la t‚l‚;chambre
H2804;-14.43387126;16.48584386;17:00;WANDER;tache m‚nag‚re;cour
H2804;-14.43349776;16.48546193;19:30;STILL;regarder la t‚l‚;maison 27
H2804;-14.43387126;16.48584386;21:00;FEED;Diner;cour
H2804;-14.43387997;16.48594995;22:00;REST;Dormir;chambre
H2805;-14.43387126;16.48584386;08:00;WANDER;Pri‚re+ tache m‚nag‚re;cour
H2805;-14.43388467;16.48579949;09:00;FEED;petit dejeuner;cour
H2805;-14.43381761;16.48591716;10:00;STILL;regarder la t‚l‚;salon
H2805;-14.43384443;16.48587408;14:00;FEED;d‚jeuner;Veranda
H2805;-14.43388467;16.48579949;14:30;WANDER;aller jouer;cour
H2805;-14.43388467;16.48579949;17:00;STILL;regarder la t‚l‚;cour 
H2805;-14.43388467;16.48579949;19:00;STILL;palabrer;cour
H2805;-14.43387126;16.48584386;21:00;FEED;diner;cour
H2805;-14.43385047;16.4859686;22:00;REST;Dormir;chambre (337)
H2806;-14.43386187;16.48583807;08:00;WANDER;pri‚re+ tache m‚nag‚re;cour
H2806;-14.43388467;16.48579949;10:00;FEED;petit d‚jeuner;cour
H2806;-14.43391752;16.4859178;10:20;WANDER;magasin;magasin (338)
H2806;-14.43381091;16.48592616;11:00;REST;repos;chambre
H2806;-14.43386522;16.48584129;14:00;FEED;D‚jeuner;cour
H2806;-14.43381761;16.48591716;15:00;REST;repos+ regarder la t‚l‚;salon
H2806;-14.43385382;16.48580014;17:00;WANDER;pr‚parer le diner;cuisine (331)
