DATE EVENT;X;Y;EVENT;NUMBER;SEX;STOCK;PIECE NATURE
08/11/2019;-14,43389;16,480568;Mus musculus;1;M;+;C/C/C
08/11/2019;-14,435542;16,481659;Mus musculus;1;F;++;C/C/C
08/11/2019;-14,4358599;16,4828888;Mus musculus;1;M;0;C/C/C
08/11/2019;-14,4358599;16,4828888;Mus musculus;1;M;+;C/C/C
08/11/2019;-14,4358599;16,4828888;Mus musculus;1;M;+;C/C/C
08/11/2019;-14,4358599;16,4828888;Mus musculus;1;F;0;C/C/C
08/11/2019;-14,4358599;16,4828888;Mus musculus;1;F;+;C/C/C
08/11/2019;-14,4358600;16,4828889;Mus musculus;1;F;+;C/C/C
08/11/2019;-14,4358601;16,4828890;Mus musculus;1;M;+;C/C/C
08/11/2019;-14,4358599;16,4828888;Mus musculus;1;F;0;C/C/C
08/11/2019;-14,4358599;16,4828888;Mus musculus;1;M;++;C/C/C
08/11/2019;-14,4358599;16,4828888;Mus musculus;1;F;0;C/C/C
08/11/2019;-14,4358599;16,4828888;Mus musculus;1;M;0;C/C/Z
08/11/2019;-14,4358600;16,4828889;Mus musculus;1;F;0;C/C/Z
08/11/2019;-14,4358599;16,4828888;Mus musculus;1;F;0;C/C/Z
08/11/2019;-14,4358599;16,4828888;Mus musculus;1;M;++;C/C/C
08/11/2019;-14,4358599;16,4828888;Mus musculus;1;F;+;C/C/C
08/11/2019;-14,4358600;16,4828889;Mus musculus;1;F;+;C/C/C
08/11/2019;-14,4358600;16,4828889;Mus musculus;1;F;+;B/B/Z
09/11/2019;-14,4358599;16,4828888;Mus musculus;1;M;0;C/B/Z
09/11/2019;-14,4358599;16,4828888;Mus musculus;1;F;+;C+S/C/Z
09/11/2019;-14,4358599;16,4828888;Mus musculus;1;M;0;S/B/Z
09/11/2019;-14,4358599;16,4828888;Mus musculus;1;F;++;C/C/C
09/11/2019;-14,4358600;16,4828889;Mus musculus;1;M;++;C/C/C
09/11/2019;-14,4358599;16,4828888;Mus musculus;1;M;++;C/C/Z
09/11/2019;-14,4358599;16,4828888;Mus musculus;1;F;+;C/C/Z
09/11/2019;-14,4358600;16,4828889;Mus musculus;1;F;+;C/C/Z
31/12/2100;;;;;;;
