ID;X;Y;TIME;DESIRE;ACTIVITY;COMMENTS;Fin;Vérification
0302;-14.43042985438624;16.48596769672363;19:00;STILL;regarder la télé; cour ;21:00;VRAI
0302;-14.430148222443693;16.485972840606323;21:00;FEED;diner ; cour;22:00;VRAI
0302;-14.43017103303137;16.485763996255223;22:00;REST;Dormir ; chambre;05:00;VRAI
0303;-14.430148222443693;16.485972840606323;07:00;WANDER;priere+ tache ménagére; cour;09:00;VRAI
0303;-14.430148222443693;16.485972840606323;09:00;FEED;petit dejeuner; cour;10:00;VRAI
0303;-14.430109933154705;16.486052682283116;10:00;WANDER;preparer le déjeuner; cuisine;14:00;VRAI
0303;-14.430148222443693;16.485972840606323;14:00;FEED;déjeuner ; cour;15:00;VRAI
0303;-14.430148222443693;16.485972840606323;15:00;STILL;palabrer; cour;17:00;VRAI
0303;-14.430109933154705;16.486052682283116;17:00;FEED;préparer le diner ; cuisine;21:00;VRAI
0303;-14.430148222443693;16.485972840606323;21:00;STILL;regarder la télé; cour ;22:00;VRAI
0303;-14.430148222443693;16.485972840606323;22:00;FEED;diner ; cour;23:00;VRAI
0303;-14.43014208235295;16.485780652521594;23:00;REST;Dormir ; chambre;07:00;VRAI
0304;-14.43014208235295;16.485780652521594;00:00;REST;dormir ; chambre;08:00;VRAI
0304;-14.430148222443693;16.485972840606323;08:00;STILL;priére ; cour;08:15;VRAI
0304;-14.430148222443693;16.485972840606323;08:15;FEED;petit dejeuner; cour;08:30;VRAI
0304;-14.433080864285829;16.486054352010843;08:30;WANDER;aller au travail ;marché;13:00;VRAI
0304;-14.430148222443693;16.485972840606323;13:00;REST;Repos ; cour ;14:00;VRAI
0304;-14.430148222443693;16.485972840606323;14:00;FEED;déjeuner ; cour;15:00;VRAI
0304;-14.433080864285829;16.486054352010843;15:00;WANDER;aller au travail ;marché;22:00;VRAI
0304;-14.430148222443693;16.485972840606323;22:00;FEED;dîner; cour;22:30;VRAI
0304;-14.430148222443693;16.485972840606323;22:30;STILL;palabrer; cour;00:00;VRAI
0305;-14.430148222443693;16.485972840606323;07:00;STILL;prière ; cour(87);07:30;VRAI
0305;-14.430148222443693;16.485972840606323;07:30;FEED;petit déjeuner ; cour (87);08:00;VRAI
0305;-14.430148222443693;16.485972840606323;08:00;WANDER;tache ménagére; cour;09:00;VRAI
0305;-14.432908544431273;16.48590839016087;09:00;WANDER;aller au marché ; marché;10:00;VRAI
0305;-14.430109933154705;16.486052682283116;10:00;WANDER;préparatif du dejeuner; cuisine (288);11:00;VRAI
0305;-14.430109933154705;16.486052682283116;11:00;WANDER;preparer le dejeuner; cuisine;13:00;VRAI
0305;-14.430148222443693;16.485972840606323;13:00;FEED;repas; cour;14:00;VRAI
0305;-14.430202878710315;16.48582229334643;14:00;REST;Dormir ; chambre (292);16:00;VRAI
0305;-14.430109933154705;16.486052682283116;16:00;WANDER;préparer le diner; cuisine;18:00;VRAI
0305;-14.430148222443693;16.485972840606323;18:00;REST;repos; cour;20:00;VRAI
0305;-14.430148222443693;16.485972840606323;20:00;FEED;diner ; cour;21:00;VRAI
0305;-14.430148222443693;16.485972840606323;21:00;STILL;palabrer; cour;23:00;VRAI
0305;-14.430202878710315;16.48582229334643;23:00;REST;dormir ; chambre;07:00;VRAI
0306;-14.430148222443693;16.485972840606323;06:00;STILL;priére; cour;06:30;VRAI
0306;-14.432644421649327;16.48630578091203;06:30;WANDER;aller au marcher; marché;17:00;VRAI
0306;-14.43042985438624;16.48596769672363;17:00;FEED;déjeuner+ thé+ repos; cour;19:00;VRAI
0306;-14.432537012494818;16.486079958910953;19:00;WANDER;aller au marcher; marché;21:00;VRAI
0306;-14.430148222443693;16.485972840606323;21:00;FEED;diner; cour;21:30;VRAI
0306;-14.43042985438624;16.48596769672363;21:30;WANDER;Diner ; cour;23:00;VRAI
0306;-14.430202878710315;16.48582229334643;23:00;REST;Dormir ; chambre;06:00;VRAI
0307;-14.430531438676894;16.48720153716334;08:00;WANDER;priére+ acheter du pain ; Boulangerie;08:20;VRAI
0307;-14.430148222443693;16.485972840606323;08:20;FEED;petit dejeuner; cour;08:40;VRAI
0307;-14.430148222443693;16.485972840606323;08:40;WANDER;tache ménagére; cour;09:00;VRAI
0307;-14.430202878710315;16.48582229334643;09:00;REST;repos+ regarder la télé; chambre;13:00;VRAI
0307;-14.430148222443693;16.485972840606323;13:00;FEED;déjeuner ; cour;13:30;VRAI
0307;-14.430109933154705;16.486052682283116;13:30;WANDER;laver les boles ;cuisine;14:00;VRAI
0307;-14.429645465332891;16.487116585093492;14:00;WANDER;aller jour ; village;17:00;VRAI
0307;-14.430148222443693;16.485972840606323;17:00;STILL;Palabrer ; cour;20:00;VRAI
0307;-14.430148222443693;16.485972840606323;20:00;FEED;diner ; cour;20:30;VRAI
0307;-14.430202878710315;16.48582229334643;20:30;REST;dormir ; chambre;08:00;VRAI
0308;-14.430148222443693;16.485972840606323;06:00;WANDER;Priére + tâche ménagére; cour  ;08:00;VRAI
0308;-14.430148222443693;16.485972840606323;08:00;FEED;petit dejeuner; cour;08:40;VRAI
0308;-14.430148222443693;16.485972840606323;08:40;STILL;palabrer; cour;10:00;VRAI
0308;-14.43017103303137;16.485763996255223;10:00;REST;repos; chambre;13:00;VRAI
0308;-14.430148222443693;16.485972840606323;13:00;FEED;déjeuner ; cour;13:30;VRAI
0308;-14.430148222443693;16.485972840606323;13:30;WANDER;tâche ménagére; cour  ;14:00;VRAI
0308;-14.43017103303137;16.485763996255223;14:00;REST;Dormir; chambre;17:00;VRAI
0308;-14.430148222443693;16.485972840606323;17:00;STILL;regarder la télé; cour ;19:00;VRAI
0308;-14.430148222443693;16.485972840606323;19:00;STILL;palabrer; cour;21:00;VRAI
0308;-14.430148222443693;16.485972840606323;21:00;FEED;diner  ; cour;22:00;VRAI
0308;-14.43017103303137;16.485763996255223;22:00;REST;dormir ; chambre;06:00;VRAI
0401;-14.42953289845196;16.486174709842597;05:20;STILL;priére; cour ;06:00;VRAI
0401;-14.42953289845196;16.486174709842597;06:00;FEED;Petit déjeuner ; cour;07:30;VRAI
0401;-14.43218285542915;16.486727748533525;07:30;WANDER;aller travailler; moulin;13:00;VRAI
0401;-14.429612173889574;16.486183652934674;13:00;REST;Repos ; cour;14:00;VRAI
0401;-14.429612173889574;16.486183652934674;14:00;FEED;Déjeuner ; cour;14:30;VRAI
0401;-14.43218285542915;16.486727748533525;14:30;WANDER;aller travailler; moulin;19:00;VRAI
0401;-14.429526262963476;16.486188898541414;19:00;REST;Repos ; cour;23:00;VRAI
0401; -14.429454513873349;16.48601336366329;23:00;REST;Dormir ; chambre;05:20;VRAI
0402;-14.429526262963476;16.486188898541414;06:00;REST;Dormir ; cour;07:30;FAUX
0402; -14.429597341501356;16.48608409202162;06:00;WANDER;priére+ tache ménagére; cour (281);06:00;FAUX
0402; -14.429597341501356;16.48608409202162;07:30;WANDER;tache ménagére; cour (281);08:00;VRAI
0402; -14.429454513873349;16.48601336366329;08:00;REST;dormir; chambre 282;09:00;VRAI
0402;-14.432898456724123;16.48593780039329;09:00;WANDER;aller au marché; marché;09:30;VRAI
0402;-14.429526262963476;16.486188898541414;09:30;WANDER;préparatif dejeuner; cour;11:00;VRAI
0402; -14.429426350679094;16.48604551292027;11:00;WANDER;magasin; magasin;12:00;VRAI
0402; -14.429612764202972;16.48605772963653;12:00;WANDER;Préparer le déjeuner ; cuisine;14:00;VRAI
0402;-14.429526262963476;16.486188898541414;14:00;FEED;déjeuner ; cour;14:30;VRAI
0402; -14.429454513873349;16.48601336366329;14:30;REST;Dormir ; chambre;16:00;VRAI
0402; -14.429612764202972;16.48605772963653;16:00;WANDER;preparer le diner; cuisine;18:00;VRAI
0402;-14.429526262963476;16.486188898541414;18:00;REST;Repos ;cour;20:00;VRAI
0402;-14.429526262963476;16.486188898541414;20:00;FEED;Diner ; cour;21:00;VRAI
0402;-14.429526262963476;16.486188898541414;21:00;STILL;palabrer; cour;22:00;VRAI
0402; -14.429454513873349;16.48601336366329;22:00;REST;dormir ; chambre;06:00;VRAI
0403; -14.431510544187644;16.48449757246501;05:30;STILL;priére; mosquéee;06:00;VRAI
0403; -14.429423785598074;16.486023382277043;06:00;REST;Dormir; chambre 04;08:00;VRAI
0403;-14.429526262963476;16.486188898541414;08:00;FEED;petit dejeuner; cour;08:30;VRAI
0403; -14.432924352348648;16.4858234527728;08:30;WANDER;aller travailler; marché;17:00;VRAI
0403;-14.429526262963476;16.486188898541414;17:00;REST;repos; cour;19:00;VRAI
0403;-14.429526262963476;16.486188898541414;19:00;STILL;regarder la télé; cour ;20:00;VRAI
0403;-14.429526262963476;16.486188898541414;20:00;FEED;diner ; cour;21:00;VRAI
0403;-14.429526262963476;16.486188898541414;21:00;STILL;regarder la télé; cour ;23:00;VRAI
0403; -14.429423785598074;16.486023382277043;23:00;REST;Dormir ; chambre 283;05:30;VRAI
0404; -14.429423785598074;16.486023382277043;06:00;STILL;priére; chambre ;06:30;VRAI
0404; -14.429423785598074;16.486023382277043;06:30;REST;dormir; chambre;08:00;VRAI
0404;-14.429526262963476;16.486188898541414;08:00;FEED;petit dejeuner; cour;10:00;VRAI
