DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout;
07/01/1910;37;61;road;;;5467;;;JLF;
07/01/1910;38;61;road;;;5468;;;JLF;
07/01/1910;39;61;road;;;5469;;;JLF;
07/01/1910;36;62;road;;;5555;;;JLF;1980
07/01/1910;37;62;road;;;5556;;;JLF;
08/01/1910;76;3;road;;;344;JLF;;;
08/01/1910;75;4;road;;;432;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;76;4;road;;;433;JLF;;;
08/01/1910;75;5;road;;;521;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;75;6;road;;;610;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;74;7;road;;;698;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;75;7;road;;;699;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;73;8;road;;;786;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;74;8;road;;;787;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;75;8;road;;;788;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;72;9;road;;;874;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;73;9;road;;;875;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;69;10;road;;;960;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;70;10;road;;;961;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;71;10;road;;;962;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;72;10;road;;;963;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;67;11;road;;;1047;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;68;11;road;;;1048;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;69;11;road;;;1049;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;64;12;road;;;1133;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;65;12;road;;;1134;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;66;12;road;;;1135;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;67;12;road;;;1136;JLF,PAM:20130304-VillesCentenal.1b.xls;;;
08/01/1910;62;13;road;;;1220;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;63;13;road;;;1221;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;64;13;road;;;1222;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;60;14;road;;;1307;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;61;14;road;;;1308;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;62;14;road;;;1309;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;59;15;road;;;1395;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;60;15;road;;;1396;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;58;16;road;;;1483;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;59;16;road;;;1484;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;57;17;road;;;1571;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;58;17;road;;;1572;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;56;18;road;;;1659;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;57;18;road;;;1660;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;55;19;road;;;1747;;;JLF;
08/01/1910;56;19;road;;;1748;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
08/01/1910;55;20;road;;;1836;;;JLF;
09/01/1910;56;21;road;;;1926;;;JLF;
09/01/1910;56;22;road;;;2015;;;JLF;
09/01/1910;57;22;road;;;2016;;;JLF;
09/01/1910;58;22;road;;;2017;;;JLF;
09/01/1910;58;23;road;;;2106;;;JLF;
09/01/1910;59;23;road;;;2107;;;JLF;
09/01/1910;59;24;road;;;2196;;;JLF;
09/01/1910;60;24;road;;;2197;;;JLF;
09/01/1910;61;24;road;;;2198;;;JLF;
09/01/1910;62;24;road;;;2199;;;JLF;
09/01/1910;62;25;road;;;2288;;;JLF;
09/01/1910;63;25;road;;;2289;;;JLF;
09/01/1910;64;25;road;;;2290;;;JLF;
09/01/1910;65;25;road;;;2291;;;JLF;
09/01/1910;65;26;road;;;2380;;;JLF;
09/01/1910;66;26;road;;;2381;;;JLF;
09/01/1910;67;26;road;;;2382;JLF;;;
09/01/1910;67;27;road;;;2471;JLF;;;
09/01/1910;68;27;road;;;2472;JLF;;;
09/01/1910;69;27;road;;;2473;JLF;;;
09/01/1910;70;27;road;;;2474;JLF;;;
09/01/1910;70;28;road;;;2563;JLF;;;
09/01/1910;71;28;road;;;2564;JLF;;;
09/01/1910;72;28;road;;;2565;JLF;;;
09/01/1910;72;29;road;;;2654;JLF;;;
09/01/1910;73;29;road;;;2655;JLF;;;
09/01/1910;74;29;road;;;2656;JLF;;;
09/01/1910;16;30;road;;;2687;;;JLF;
09/01/1910;74;30;road;;;2745;JLF;;;
09/01/1910;75;30;road;;;2746;JLF;;;
09/01/1910;76;30;road;;;2747;JLF;;;
09/01/1910;16;31;road;;;2776;;;JLF;
09/01/1910;76;31;road;;;2836;JLF;;;
09/01/1910;16;32;road;;;2865;;;JLF;
09/01/1910;15;33;road;;;2953;;;JLF;
09/01/1910;16;33;road;;;2954;;;JLF;
09/01/1910;14;35;road;;;3130;;;JLF;
09/01/1910;15;35;road;;;3131;;;JLF;
09/01/1910;16;35;road;;;3132;;;JLF;
09/01/1910;14;36;road;;;3219;;;JLF;
09/01/1910;15;36;road;;;3220;;;JLF;
09/01/1910;16;36;road;;;3221;;;JLF;
09/01/1910;16;37;road;;;3310;;;JLF;
09/01/1910;17;37;road;;;3311;;;JLF;
09/01/1910;18;37;road;;;3312;;;JLF;
09/01/1910;18;38;road;;;3401;;;JLF;
09/01/1910;18;39;road;;;3490;;;JLF;
09/01/1910;18;40;road;;;3579;;;JLF;
10/01/1910;21;25;road;;;;PAM;;;
10/01/1910;22;24;road;;;;PAM;;;
10/01/1910;23;24;road;;;;PAM;;;
10/01/1910;24;23;road;;;;PAM;;;
10/01/1910;25;22;road;;;;PAM;;;
10/01/1910;26;21;road;;;;PAM;;;
10/01/1910;27;20;road;;;;PAM;;;
10/01/1910;28;19;road;;;;PAM;;;
10/01/1910;28;18;road;;;;PAM;;;
10/01/1910;28;17;road;;;;PAM;;;
10/01/1910;28;16;road;;;;PAM;;;
10/01/1910;28;15;road;;;;PAM;;;
10/01/1910;27;14;road;;;;PAM;;;
10/01/1910;27;13;road;;;;PAM;;;
10/01/1910;26;12;road;;;;PAM;;;
10/01/1910;25;11;road;;;;PAM;;;
12/01/1910;13;0;road;;;14;;;JLF;
12/01/1910;75;0;road;;;76;JLF;;;
12/01/1910;11;1;road;;;101;;;JLF;
12/01/1910;12;1;road;;;102;;;JLF;
12/01/1910;13;1;road;;;103;;;JLF;
12/01/1910;14;1;road;;;104;;;JLF;
12/01/1910;71;1;road;;;161;JLF;;;
12/01/1910;75;1;road;;;165;JLF;;;
12/01/1910;79;1;road;;;169;JLF;;;
12/01/1910;10;2;road;;;189;;;JLF;
12/01/1910;11;2;road;;;190;;;JLF;
12/01/1910;13;2;road;;;192;;;JLF;
12/01/1910;14;2;road;;;193;;;JLF;
12/01/1910;15;2;road;;;194;;;JLF;
12/01/1910;16;2;road;;;195;;;JLF;
