DATE;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT
01/01/1910;7;2;bioClimate;0;;186;
01/01/1910;7;3;bioClimate;0;;275;
01/01/1910;7;4;bioClimate;0;;364;
01/01/1910;7;5;bioClimate;0;;453;
01/01/1910;7;6;bioClimate;0;;542;
01/01/1910;7;7;bioClimate;0;;631;
01/01/1910;7;8;bioClimate;0;;720;
01/01/1910;7;9;bioClimate;0;;809;
01/01/1910;7;10;bioClimate;0;;898;
01/01/1910;7;11;bioClimate;0;;987;
01/01/1910;7;12;bioClimate;0;;1076;
01/01/1910;7;13;bioClimate;0;;1165;
01/01/1910;7;14;bioClimate;0;;1254;
01/01/1910;7;15;bioClimate;0;;1343;
01/01/1910;7;16;bioClimate;0;;1432;
01/01/1910;7;17;bioClimate;0;;1521;
01/01/1910;7;18;bioClimate;0;;1610;
01/01/1910;7;19;bioClimate;0;;1699;
01/01/1910;7;20;bioClimate;0;;1788;
01/01/1910;7;21;bioClimate;0;;1877;
01/01/1910;7;22;bioClimate;0;;1966;
01/01/1910;7;23;bioClimate;0;;2055;
01/01/1910;7;24;bioClimate;0;;2144;
01/01/1910;7;25;bioClimate;0;;2233;
01/01/1910;7;26;bioClimate;0;;2322;
01/01/1910;7;27;bioClimate;0;;2411;
01/01/1910;7;28;bioClimate;0;;2500;
01/01/1910;7;29;bioClimate;0;;2589;
01/01/1910;7;30;bioClimate;0;;2678;
01/01/1910;7;31;bioClimate;3;;2767;
01/01/1910;7;32;bioClimate;3;;2856;
01/01/1910;7;33;bioClimate;3;;2945;
01/01/1910;7;34;bioClimate;4;;3034;
01/01/1910;7;35;bioClimate;4;;3123;
01/01/1910;7;36;bioClimate;4;;3212;
01/01/1910;7;37;bioClimate;4;;3301;
01/01/1910;7;38;bioClimate;1;;3390;
01/01/1910;7;39;bioClimate;1;;3479;
01/01/1910;7;40;bioClimate;1;;3568;
01/01/1910;7;41;bioClimate;0;;3657;
01/01/1910;7;42;bioClimate;0;;3746;
01/01/1910;7;43;bioClimate;0;;3835;
01/01/1910;7;44;bioClimate;0;;3924;
01/01/1910;7;45;bioClimate;0;;4013;
01/01/1910;7;46;bioClimate;0;;4102;
01/01/1910;7;47;bioClimate;0;;4191;
01/01/1910;7;48;bioClimate;0;;4280;
01/01/1910;7;49;bioClimate;0;;4369;
01/01/1910;7;50;bioClimate;0;;4458;
01/01/1910;7;51;bioClimate;0;;4547;
01/01/1910;7;52;bioClimate;0;;4636;
01/01/1910;7;53;bioClimate;0;;4725;
01/01/1910;7;54;bioClimate;0;;4814;
01/01/1910;7;55;bioClimate;0;;4903;
01/01/1910;7;56;bioClimate;0;;4992;
01/01/1910;7;57;bioClimate;0;;5081;
01/01/1910;7;58;bioClimate;0;;5170;
01/01/1910;7;59;bioClimate;0;;5259;
01/01/1910;7;60;bioClimate;0;;5348;
01/01/1910;7;61;bioClimate;0;;5437;
01/01/1910;7;62;bioClimate;0;;5526;
01/01/1910;8;0;bioClimate;0;;9;
01/01/1910;8;1;bioClimate;0;;98;
01/01/1910;8;2;bioClimate;0;;187;
01/01/1910;8;3;bioClimate;0;;276;
01/01/1910;8;4;bioClimate;0;;365;
01/01/1910;8;5;bioClimate;0;;454;
01/01/1910;8;6;bioClimate;0;;543;
01/01/1910;8;7;bioClimate;0;;632;
01/01/1910;8;8;bioClimate;0;;721;
01/01/1910;8;9;bioClimate;0;;810;
01/01/1910;8;10;bioClimate;0;;899;
01/01/1910;8;11;bioClimate;0;;988;
01/01/1910;8;12;bioClimate;0;;1077;
01/01/1910;8;13;bioClimate;0;;1166;
01/01/1910;8;14;bioClimate;0;;1255;
01/01/1910;8;15;bioClimate;0;;1344;
01/01/1910;8;16;bioClimate;0;;1433;
01/01/1910;8;17;bioClimate;0;;1522;
01/01/1910;8;18;bioClimate;0;;1611;
01/01/1910;8;19;bioClimate;0;;1700;
01/01/1910;8;20;bioClimate;0;;1789;
01/01/1910;8;21;bioClimate;0;;1878;
01/01/1910;8;22;bioClimate;0;;1967;
01/01/1910;8;23;bioClimate;0;;2056;
01/01/1910;8;24;bioClimate;0;;2145;
01/01/1910;8;25;bioClimate;0;;2234;
01/01/1910;8;26;bioClimate;0;;2323;
01/01/1910;8;27;bioClimate;0;;2412;
01/01/1910;8;28;bioClimate;0;;2501;
01/01/1910;8;29;bioClimate;3;;2590;
01/01/1910;8;30;bioClimate;3;;2679;
01/01/1910;8;31;bioClimate;3;;2768;
01/01/1910;8;32;bioClimate;3;;2857;
01/01/1910;8;33;bioClimate;3;;2946;
01/01/1910;8;34;bioClimate;4;;3035;
01/01/1910;8;35;bioClimate;4;;3124;
01/01/1910;8;36;bioClimate;4;;3213;
01/01/1910;8;37;bioClimate;4;;3302;
01/01/1910;8;38;bioClimate;1;;3391;
01/01/1910;8;39;bioClimate;1;;3480;
01/01/1910;8;40;bioClimate;1;;3569;
01/01/1910;8;41;bioClimate;1;;3658;
01/01/1910;8;42;bioClimate;0;;3747;
01/01/1910;8;43;bioClimate;0;;3836;
01/01/1910;8;44;bioClimate;0;;3925;
01/01/1910;8;45;bioClimate;0;;4014;
01/01/1910;8;46;bioClimate;0;;4103;
01/01/1910;8;47;bioClimate;0;;4192;
01/01/1910;8;48;bioClimate;0;;4281;
01/01/1910;8;49;bioClimate;0;;4370;
01/01/1910;8;50;bioClimate;0;;4459;
01/01/1910;8;51;bioClimate;0;;4548;
01/01/1910;8;52;bioClimate;0;;4637;
01/01/1910;8;53;bioClimate;0;;4726;
01/01/1910;8;54;bioClimate;0;;4815;
01/01/1910;8;55;bioClimate;0;;4904;
01/01/1910;8;56;bioClimate;0;;4993;
01/01/1910;8;57;bioClimate;0;;5082;
01/01/1910;8;58;bioClimate;0;;5171;
01/01/1910;8;59;bioClimate;0;;5260;
01/01/1910;8;60;bioClimate;0;;5349;
01/01/1910;8;61;bioClimate;0;;5438;
01/01/1910;8;62;bioClimate;0;;5527;
01/01/1910;9;0;bioClimate;0;;10;
01/01/1910;9;1;bioClimate;0;;99;
01/01/1910;9;2;bioClimate;0;;188;
01/01/1910;9;3;bioClimate;0;;277;
01/01/1910;9;4;bioClimate;0;;366;
01/01/1910;9;5;bioClimate;0;;455;
01/01/1910;9;6;bioClimate;0;;544;
01/01/1910;9;7;bioClimate;0;;633;
01/01/1910;9;8;bioClimate;0;;722;
01/01/1910;9;9;bioClimate;0;;811;
01/01/1910;9;10;bioClimate;0;;900;
01/01/1910;9;11;bioClimate;0;;989;
01/01/1910;9;12;bioClimate;0;;1078;
01/01/1910;9;13;bioClimate;0;;1167;
