"";"CELL_WIDTH_Ucm";"INIT_POP_SIZE";"NUMBER_OF_BURROW_SYSTEM";"MAX_AGE_Uday";"AGENT_PERCEPTION_RADIUS_UmeterByDay";"AGENT_SPEED_UmeterByDay";"REPRO_START_Umonth";"REPRO_END_Umonth";"MALE_SEXUAL_MATURITY_Uday";"FEMALE_SEXUAL_MATURITY_Uday";"GESTATION_LENGTH_Uday";"MATING_LATENCY_Uday";"LITTER_SIZE";"WEANING_AGE_Uday";"FEMALE_BURROW_SYSTEM_CARRYING_CAPACITY_MULTIPLIER"
"89";823;1400;85;1020;51;5;5;9;25;80;28;14;3;11;1
"90";823;1400;85;1020;51;5;5;9;64;80;28;14;3;11;1
"91";823;1400;85;1020;51;5;5;9;64;44;28;14;3;11;1
"92";823;1400;85;1020;51;5;5;9;64;44;10;14;3;11;1
"93";823;1400;85;1020;51;5;5;9;64;44;10;5;3;11;1
"94";823;1400;85;1020;51;5;5;9;64;44;10;5;9;11;1
"95";823;1400;85;1020;51;5;5;9;64;44;10;5;9;29;1
"96";823;1400;85;1020;51;5;5;9;64;44;10;5;9;29;4
"97";375;1400;25;300;15;9;2;6;90;32;28;11;9;29;3
"98";1047;1400;25;300;15;9;2;6;90;32;28;11;9;29;3
"99";1047;500;25;300;15;9;2;6;90;32;28;11;9;29;3
"100";1047;500;70;300;15;9;2;6;90;32;28;11;9;29;3
"101";1047;500;70;840;15;9;2;6;90;32;28;11;9;29;3
"102";1047;500;70;840;42;9;2;6;90;32;28;11;9;29;3
"103";1047;500;70;840;42;21;2;6;90;32;28;11;9;29;3
"104";1047;500;70;840;42;21;5;6;90;32;28;11;9;29;3
"105";1047;500;70;840;42;21;5;9;90;32;28;11;9;29;3
"106";1047;500;70;840;42;21;5;9;51;32;28;11;9;29;3
"107";1047;500;70;840;42;21;5;9;51;68;28;11;9;29;3
"108";1047;500;70;840;42;21;5;9;51;68;10;11;9;29;3
"109";1047;500;70;840;42;21;5;9;51;68;10;20;9;29;3
"110";1047;500;70;840;42;21;5;9;51;68;10;20;3;29;3
"111";1047;500;70;840;42;21;5;9;51;68;10;20;3;11;3
"112";1047;500;70;840;42;21;5;9;51;68;10;20;3;11;6
"113";823;500;70;1020;42;9;2;6;51;20;16;11;9;17;4
"114";1495;500;70;1020;42;9;2;6;51;20;16;11;9;17;4
"115";1495;1400;70;1020;42;9;2;6;51;20;16;11;9;17;4
"116";1495;1400;25;1020;42;9;2;6;51;20;16;11;9;17;4
"117";1495;1400;25;480;42;9;2;6;51;20;16;11;9;17;4
"118";1495;1400;25;480;15;9;2;6;51;20;16;11;9;17;4
"119";1495;1400;25;480;15;21;2;6;51;20;16;11;9;17;4
"120";1495;1400;25;480;15;21;5;6;51;20;16;11;9;17;4
"121";1495;1400;25;480;15;21;5;9;51;20;16;11;9;17;4
"122";1495;1400;25;480;15;21;5;9;90;20;16;11;9;17;4
"123";1495;1400;25;480;15;21;5;9;90;56;16;11;9;17;4
"124";1495;1400;25;480;15;21;5;9;90;56;34;11;9;17;4
"125";1495;1400;25;480;15;21;5;9;90;56;34;20;9;17;4
"126";1495;1400;25;480;15;21;5;9;90;56;34;20;3;17;4
"127";1495;1400;25;480;15;21;5;9;90;56;34;20;3;35;4
"128";1495;1400;25;480;15;21;5;9;90;56;34;20;3;35;1
"129";599;1700;70;840;60;17;4;11;90;44;28;5;1;23;3
"130";1271;1700;70;840;60;17;4;11;90;44;28;5;1;23;3
"131";1271;800;70;840;60;17;4;11;90;44;28;5;1;23;3
"132";1271;800;25;840;60;17;4;11;90;44;28;5;1;23;3
"133";1271;800;25;300;60;17;4;11;90;44;28;5;1;23;3
"134";1271;800;25;300;33;17;4;11;90;44;28;5;1;23;3
"135";1271;800;25;300;33;5;4;11;90;44;28;5;1;23;3
"136";1271;800;25;300;33;5;1;11;90;44;28;5;1;23;3
"137";1271;800;25;300;33;5;1;8;90;44;28;5;1;23;3
"138";1271;800;25;300;33;5;1;8;51;44;28;5;1;23;3
"139";1271;800;25;300;33;5;1;8;51;80;28;5;1;23;3
"140";1271;800;25;300;33;5;1;8;51;80;10;5;1;23;3
